ed_name,vs16,vs20,vs24,first_diff,second_diff,third_diff,san16vs,san20vs
78015,7.89,18.22,36.04,10.329999999999998,17.82,28.15,38.14,20.29
78016,5.71,15.52,31.08,9.809999999999999,15.559999999999999,25.369999999999997,24.24,14.02
78017,3.08,23.43,35.71,20.35,12.280000000000001,32.63,30.12,23.26
78018,3.64,17.24,35.27,13.599999999999998,18.030000000000005,31.630000000000003,31.67,29.41
78019,6.95,22.7,28.11,15.75,5.41,21.16,29.36,26.0
78020,6.48,10.58,28.61,4.1,18.03,22.13,30.48,21.25
78021,6.16,17.11,35.61,10.95,18.5,29.45,36.3,43.55
78022,4.03,16.87,37.0,12.84,20.13,32.97,30.87,22.39
78023,5.03,15.94,29.01,10.91,13.070000000000002,23.98,33.33,30.48
78024,6.79,15.78,27.38,8.989999999999998,11.6,20.59,31.48,23.86
78025,7.55,18.96,29.79,11.41,10.829999999999998,22.24,29.63,22.22
78026,3.26,12.17,29.66,8.91,17.490000000000002,26.4,32.06,30.21
78027,4.58,12.54,31.64,7.959999999999999,19.1,27.060000000000002,30.61,17.58
78028,7.93,14.05,32.0,6.120000000000001,17.95,24.07,26.92,31.87
78029,4.5,16.04,34.64,11.54,18.6,30.14,32.02,23.91
78030,10.95,18.3,26.9,7.350000000000001,8.599999999999998,15.95,34.36,22.86
78031,8.51,16.73,27.32,8.22,10.59,18.810000000000002,33.67,26.45
78032,12.22,17.49,15.71,5.269999999999998,-1.7799999999999976,3.49,37.76,28.7
78033,10.48,17.27,36.09,6.789999999999999,18.820000000000004,25.610000000000003,50.0,20.0
78034,7.09,16.7,37.84,9.61,21.140000000000004,30.750000000000004,33.77,25.23
78035,15.76,16.2,40.7,0.4399999999999995,24.500000000000004,24.940000000000005,28.57,24.44
78036,7.17,13.73,28.15,6.5600000000000005,14.419999999999998,20.979999999999997,33.33,24.17
78037,6.56,20.31,33.15,13.75,12.84,26.59,4.17,23.08
78038,8.6,17.07,33.16,8.47,16.089999999999996,24.559999999999995,46.11,30.26
78039,16.67,17.68,34.88,1.009999999999998,17.200000000000003,18.21,50.0,25.61
78040,12.77,18.75,32.06,5.98,13.310000000000002,19.290000000000003,34.08,18.18
78041,19.71,19.74,41.83,0.029999999999997584,22.09,22.119999999999997,37.56,16.81
78042,0.0,0.0,29.38,0.0,29.38,29.38,,
78043,4.19,18.22,42.5,14.029999999999998,24.28,38.31,31.87,37.5
78044,8.65,15.79,38.75,7.139999999999999,22.96,30.1,34.82,26.55
78045,6.4,20.1,32.75,13.700000000000001,12.649999999999999,26.35,27.73,26.87
78046,5.26,15.29,32.44,10.03,17.15,27.18,30.38,25.0
78047,4.6,18.66,38.15,14.06,19.49,33.55,27.27,19.67
78048,7.12,10.07,50.0,2.95,39.93,42.88,32.22,13.48
78049,5.4,12.89,28.66,7.49,15.77,23.259999999999998,36.53,19.54
78050,5.77,17.53,41.52,11.760000000000002,23.990000000000002,35.75,33.33,16.95
79001,3.23,12.5,18.54,9.27,6.039999999999999,15.309999999999999,31.47,16.67
79002,4.05,15.88,36.54,11.830000000000002,20.659999999999997,32.49,28.71,23.12
79003,3.13,9.9,20.84,6.7700000000000005,10.94,17.71,27.54,14.18
79004,4.27,11.45,32.49,7.18,21.040000000000003,28.220000000000002,30.37,31.18
79005,1.66,7.31,25.5,5.6499999999999995,18.19,23.84,23.15,17.2
79006,7.29,14.99,28.23,7.7,13.24,20.94,25.42,21.84
79007,3.3,13.03,20.27,9.73,7.24,16.97,25.73,27.84
79008,3.27,12.23,19.06,8.96,6.829999999999998,15.79,31.09,30.7
79009,2.64,8.93,25.13,6.289999999999999,16.2,22.49,34.41,38.6
79010,2.84,14.88,23.77,12.040000000000001,8.889999999999999,20.93,29.64,23.17
79011,8.87,11.37,20.21,2.5,8.840000000000002,11.340000000000002,47.83,42.65
79012,5.65,16.15,24.42,10.499999999999998,8.270000000000003,18.770000000000003,50.0,31.58
79013,5.53,16.92,18.98,11.39,2.0599999999999987,13.45,23.14,35.76
79014,5.26,10.9,24.56,5.640000000000001,13.659999999999998,19.299999999999997,29.58,17.07
79015,4.04,9.72,21.65,5.680000000000001,11.929999999999998,17.61,12.1,16.28
79016,3.63,13.35,20.6,9.719999999999999,7.250000000000002,16.970000000000002,26.51,31.18
79017,5.37,12.47,27.78,7.1000000000000005,15.31,22.41,29.29,24.81
79018,3.16,7.08,19.21,3.92,12.13,16.05,32.06,21.65
79019,5.62,11.01,20.37,5.39,9.360000000000001,14.75,24.18,15.0
79020,4.1,10.77,20.85,6.67,10.080000000000002,16.75,21.95,19.21
79021,6.07,9.54,23.41,3.469999999999999,13.870000000000001,17.34,31.82,26.37
79022,3.6,8.79,25.58,5.1899999999999995,16.79,21.979999999999997,26.25,17.44
79023,4.6,12.33,33.07,7.73,20.740000000000002,28.47,29.32,20.0
79024,5.16,12.23,24.63,7.07,12.399999999999999,19.47,28.65,14.29
79025,4.01,9.67,27.27,5.66,17.6,23.259999999999998,30.86,30.48
79026,4.4,14.97,23.95,10.57,8.979999999999999,19.549999999999997,29.27,30.0
79027,4.2,11.47,22.35,7.2700000000000005,10.88,18.150000000000002,19.92,24.63
79028,5.31,12.08,20.41,6.7700000000000005,8.33,15.100000000000001,27.82,22.79
79030,5.85,13.43,20.84,7.58,7.41,14.99,28.65,24.59
79031,1.55,8.8,25.53,7.250000000000001,16.73,23.98,29.65,26.92
79032,4.39,9.77,25.61,5.38,15.84,21.22,30.77,29.63
79033,3.27,10.37,21.18,7.1,10.81,17.91,23.74,25.31
79034,4.94,11.19,29.87,6.249999999999999,18.68,24.93,36.81,26.92
79035,3.33,10.1,21.86,6.77,11.76,18.53,28.49,28.8
79036,3.28,9.89,25.41,6.610000000000001,15.52,22.13,23.61,29.63
79037,1.58,6.82,26.07,5.24,19.25,24.490000000000002,34.48,23.36
79038,1.3,8.85,25.42,7.55,16.57,24.12,23.15,21.37
79039,2.89,11.07,23.06,8.18,11.989999999999998,20.169999999999998,23.62,16.56
79040,3.56,12.26,22.25,8.7,9.99,18.69,23.18,22.35
79041,2.08,6.44,23.59,4.36,17.15,21.509999999999998,28.95,21.88
79042,4.65,11.5,24.74,6.85,13.239999999999998,20.089999999999996,28.34,28.1
79043,4.96,11.28,19.04,6.319999999999999,7.76,14.079999999999998,32.7,29.41
79044,5.55,13.19,25.53,7.64,12.340000000000002,19.98,34.64,24.79
79045,4.34,10.13,23.55,5.790000000000001,13.42,19.21,37.67,17.73
79046,2.33,6.96,23.27,4.63,16.31,20.939999999999998,33.47,28.36
79047,4.09,13.54,21.21,9.45,7.670000000000002,17.12,35.53,17.91
79048,3.59,12.58,19.64,8.99,7.0600000000000005,16.05,29.8,31.16
79049,3.29,8.78,26.39,5.489999999999999,17.61,23.1,19.5,23.08
79050,4.49,12.44,24.35,7.949999999999999,11.910000000000002,19.86,29.89,27.91
79051,3.16,6.13,31.6,2.9699999999999998,25.470000000000002,28.44,23.36,20.41
79052,4.17,10.85,22.2,6.68,11.35,18.03,34.13,22.13
79053,4.15,10.07,21.34,5.92,11.27,17.189999999999998,30.32,14.93
79054,3.8,12.95,12.01,9.149999999999999,-0.9399999999999995,8.21,28.23,25.69
79055,6.48,11.18,13.34,4.699999999999999,2.16,6.859999999999999,31.37,21.74
79056,5.79,14.53,14.2,8.739999999999998,-0.33000000000000007,8.41,29.26,14.29
79057,3.61,10.32,26.04,6.710000000000001,15.719999999999999,22.43,33.01,16.44
79058,4.63,13.35,28.04,8.719999999999999,14.69,23.41,28.35,22.7
79059,6.29,11.07,24.41,4.78,13.34,18.12,31.46,30.91
80001,20.98,22.06,30.83,1.0799999999999983,8.77,9.849999999999998,35.8,15.22
80002,6.64,12.5,31.07,5.86,18.57,24.43,64.06,42.64
80003,69.0,60.0,37.5,-9.0,-22.5,-31.5,58.11,19.66
80004,45.11,44.32,56.46,-0.7899999999999991,12.14,11.350000000000001,47.22,10.34
80006,40.58,41.95,44.34,1.3700000000000045,2.3900000000000006,3.760000000000005,63.41,30.49
80007,34.39,40.14,34.29,5.75,-5.850000000000001,-0.10000000000000142,51.06,26.39
80008,25.56,35.59,34.41,10.030000000000005,-1.1800000000000068,8.849999999999998,44.57,24.19
80009,16.3,20.91,38.83,4.609999999999999,17.919999999999998,22.529999999999998,49.38,27.85
80010,23.04,28.08,52.34,5.039999999999999,24.260000000000005,29.300000000000004,40.34,32.04
80011,12.5,33.59,38.66,21.090000000000003,5.069999999999993,26.159999999999997,39.47,13.33
80012,13.17,26.2,34.12,13.03,7.919999999999998,20.949999999999996,36.51,34.04
