ElectDist,african21p,afam21p,fb21wafp,fb21nafp
23001,0.0,0.0736378854320895,0.0,0.06545589816185735
23002,0.0,0.06651686162686359,0.0,0.05912609922387875
23006,0.0,0.0,0.0,0.0
23008,0.0,6.865967166251972e-09,0.0,0.0
23009,0.0,0.22109438936829495,0.0,0.0
23010,0.0,1.2328037334513229,0.0,0.0
23015,0.0,0.48810631445923275,0.0,0.0
23020,0.0032954055153077027,0.04270004167707213,0.0011218401754238983,0.0
23025,0.07265404011825193,8.06755212158698,0.3814337106208226,0.0
23026,1.4391024532422187e-09,2.6018065308324787,7.555287879521646e-09,0.0
23028,0.07044868950788727,3.033696691933396,0.0,0.11007607735607387
23029,0.29817164743087976,10.651038534769535,0.10980140427855471,0.017922583688394333
23030,0.19882534661337242,8.146135675943704,0.07037734725838073,0.0
23031,0.07702172514312539,7.031441477286002,0.4043640367411537,0.0
23032,6.353297704576224e-09,4.584035183863813,0.012130673246278739,0.0
23033,9.723358003885272e-08,31.339388769707227,0.08293296853529504,0.0
23034,1.0042607644359023,17.735676857260582,1.0011805038525259,0.0
23035,2.0603549360236186e-10,15.100007135167822,3.6424131904703263e-10,0.0
23036,0.8175935580088531,19.981747858353035,1.6844397396782957,0.0
23037,1.9108746374695806,12.96171592702713,3.936862204907208,0.0
23038,0.06167989557399522,19.295475044887304,2.1587904959672612,0.0
23040,0.0,0.40040768041881625,0.0,0.0
23041,0.0,0.24788482731975808,0.0,0.0
23042,0.5614727319486512,9.899991051097713,2.7041043082862046,0.0
23043,0.0,0.05332449453718463,0.018565361595776448,0.2279229238762789
23044,0.0,0.0685315404158391,0.0,0.0
23045,0.0,0.09781680857416208,0.0,0.0
23046,0.0,0.08215090735784114,0.0017367806657374852,0.0015382914467960583
23047,0.0,0.0643936815726616,0.0,0.0
23048,0.0,0.4853439327407262,0.0,0.0
23049,0.0,0.051220210498806915,0.0,0.0
23050,0.0,0.06308433759636806,0.0,0.0
23051,0.0,0.038845907996914605,0.0,0.0
23052,0.0,0.2642593968332984,0.0,1.5508892856232977e-10
23053,0.0,2.903372073683173,2.6634666645301577e-09,3.906417774644232e-09
23055,0.0,2.8874334091556677,0.0011213408710981404,0.0007008380444363378
23056,0.0,2.2315902176714486,0.08858577396790718,0.05536610872994199
23057,0.0,0.9582770446216853,0.06844693128602716,0.04277933205376697
23058,0.0,2.405941977268115,0.02675463635784562,0.02369696363123469
23059,0.0,0.8250638141535321,0.07199814136895907,0.04499883835559942
23060,0.0,1.710220507171519,0.03309165577443589,0.029309743044903164
23061,0.0,-0.07844656590480494,0.08580116906313329,0.07599531246551262
23062,0.0,1.9639133837832858,1.90630248886617e-09,1.688439347281465e-09
23063,0.0,0.8585645364174246,0.018915957516264643,0.016754133800120113
23064,0.0,2.9909694104096816,0.0,0.0
23065,9.182277598701634e-09,-0.17581877097476828,0.19230349485907233,0.170325885312213
23066,0.0,0.6094679674082134,3.622330024410514e-08,0.0
23067,0.0,0.5126159653681732,0.0,1.1555369207444808e-08
23068,0.0,-0.11360722982810849,0.0,0.24614927184323063
23069,0.0,2.3191781176498263,2.4808770422606147e-10,6.82241186621669e-10
23071,0.06982722231554254,1.399130639729945,0.10810288491813626,0.0
23073,0.0,0.0,0.0,0.0
23074,0.002022639555033664,0.026208244447138318,0.0006885581463944386,0.0
23077,0.0,1.3435081209262486e-08,0.0,8.628033804113524e-10
23078,0.0,0.0,0.0,0.0
23079,0.0,3.65151736478606e-10,0.0,0.0
23081,0.0,0.01041479393404273,0.0,0.0
