ElectDist,cvap
23001,936.6832301616669
23002,846.1029053628445
23006,1040.742461040616
23008,1075.4676115066106
23009,1462.0723439990907
23010,1274.4607882201672
23015,474.7280373722315
23020,5.366623272537254
23025,1486.9398477077484
23026,765.6600500533142
23028,1369.4559500217438
23029,1292.3990142084658
23030,1003.0802134051919
23031,1128.6991142163718
23032,357.80678925049335
23033,2446.195424188474
23034,1415.3145853634924
23035,1108.7124942923442
23036,1633.1869671020886
23037,1339.7639380426579
23038,1069.4086782731367
23040,975.6296002864838
23041,603.9938463270664
23042,1708.1225875429668
23043,1174.554892133242
23044,1107.3799828416143
23045,1580.5915599018335
23046,1368.86686408706
23047,1040.5829794525653
23048,1515.200929264538
23049,1699.8982667922974
23050,2093.6453618109226
23051,1289.2194513231516
23052,2227.9717104866004
23053,1808.5275614732122
23055,1614.1214736360278
23056,1859.0965764227692
23057,1556.797538314946
23058,1965.9766460779165
23059,1495.5218441259958
23060,1824.001910440736
23061,778.441288606358
23062,1354.440611813685
23063,774.6921703591943
23064,2061.6062292036077
23065,1744.6958262609523
23066,1032.3055490190118
23067,868.2619270519865
23068,945.8091405540035
23069,1105.5530665091126
23071,46.08045813627541
23073,0.0
23074,3.2939025129307993
23077,1.2345902873356351e-06
23078,0.0
23079,1.2118669523442094e-05
23081,25.376589260995388
23082,0.0
23084,1384.1942032209895
23085,1216.950482210054
23087,968.7114016748965
23088,753.6702904701233
23089,983.9055512575304
23090,864.9147959619253
23091,1370.8326225916048
23093,642.6254936680198
24001,1549.1975155938417
24002,1162.8020053058863
24003,824.7410301119089
24004,553.9874614447299
24005,1133.2446532249876
24006,1179.3696731044602
24007,1139.8422694747426
24010,814.4980772105491
24011,791.8509344906695
24012,120.94006343185902
24013,1226.3128437512391
24014,534.6755098736515
24015,837.8484074617163
24016,1004.4399076402187
24017,1005.2585763001815
24018,601.453649478377
24019,1162.6629889011383
24020,1025.029777213931
24021,890.0210393218692
24022,1783.546364814043
24023,200.81798174232244
24024,567.4203738902548
24025,996.0223750107601
24026,1229.8881525432248
24027,1158.153135777251
24028,1654.1142767945526
24029,534.8930982872844
24030,873.4365524245288
24031,1015.4694484557624
24032,465.8943368548661
24033,1078.1496083063928
24034,867.086500373669
24035,2515.610200226307
24036,156.4416438843908
24037,540.185032797883
24038,69.61771256849558
24039,2368.0755687221977
24040,1500.5706579854584
24041,282.6064526624998
24042,1099.2711852136335
24043,1063.6124328236813
24044,1217.6861247660597
24045,1887.0548086725175
24046,824.7816899540192
24047,1968.6762738749385
24048,445.28594172000885
24049,1413.0343718606525
24050,2000.2184196561575
24051,1706.4619742083623
24052,1183.2868629525406
24053,1996.192192444438
24054,804.6168561426732
24055,1251.8337311585842
24056,117.38410863118337
24057,576.4554487664878
24058,453.8593303038315
24060,665.1103112161487
24061,851.4278959472495
24062,954.4274594792967
24063,1059.3624663436683
24064,875.2917601726949
24065,845.1696049565189
24066,959.2289300262928
24067,1042.8831552255117
24068,1508.1787918728114
24069,1365.15085938866
24070,1399.590304193087
24071,1339.7426181817427
24072,1396.4226328629761
24073,1572.9020908903728
24074,1450.6703322678804
24075,1303.9111558496952
24076,1782.7632528960069
24077,1289.4892793136983
24078,231.74507074579324
24079,906.961788425222
24081,3.329471541568637
24082,3.695157617155928
24083,51.74724342373113
24084,797.9054825190026
24085,1292.7283608838916
24086,410.2627309039235
24087,1668.1088538992574
24088,958.8448001779616
24089,739.0204220514478
24090,821.9889298994893
24091,686.8796036229488
25001,458.37134197354317
25002,245.4512593895197
25003,1187.7309364697796
25004,1436.9999360200702
25005,276.6034206611736
25006,1132.584855068034
25007,1031.448428714648
25008,1111.983267991421
25009,343.98327521713213
25010,538.346745299263
25011,1223.6277316895012
25012,1096.152627710253
25013,1232.4279672033013
25014,1121.5682206454362
25015,976.054632639207
25016,927.3627542676918
25017,917.0479364660569
25018,1249.6678984287141
25019,861.3456325381994
25020,2319.131215305766
25021,1546.5082907527685
25022,1822.3465165719392
25023,344.39564222842455
25024,2072.2301702607015
25025,722.7580041846377
25026,193.31026645749807
25027,1156.3322229491912
25028,1308.1298218432962
25029,1613.065614120287
25030,991.5997193455696
25031,1291.9597247621623
25032,1179.6349423399843
25033,947.4160195838639
25034,190.2933307737112
25035,987.1843659165297
25036,1390.833571154682
25037,1093.665226687146
25038,971.3575228582691
25039,900.0892505434092
