,Factor1,Factor2,Factor3,Factor4
log_mhhi21,-0.13220146794548757,-0.09955769747600893,-0.07599975114243092,-0.14254707682787157
cvap21bapp,-10.32191864982077,-0.43402701348477535,3.6042352978848027,-5.1706024869566605
nhw21p,-14.294087535745795,7.251421420574762,-2.40942800125085,-0.43756645746564043
nha21p,4.433791233900606,-1.6495533399513151,4.877724823157796,-0.2632283577319621
h21p,8.983791939787606,-3.9573745429740628,-2.6479747733880363,-1.0949285789586902
white_transplant_ratio,-4.659762182369925,-0.3688455998926008,1.5445735205514635,-1.9160113485535886
greek21p,-1.876256456540837,1.327447431843104,-0.8492650086923416,0.4430003123353736
arab21p,-0.13351971501077003,-0.21596095546626642,0.11185939063355789,-0.05309546313547198
colomb21p,2.0224367714071927,-0.17740629819449857,0.0007295648893413117,0.062219832788994914
w2cmp,-0.8496169324233326,-0.24644654754729178,1.1500106700757584,-0.23329799516587238
w2admp,-2.5453228803838943,-1.2348579389604777,1.1010766878178797,-1.5765048901161396
w2hsp,1.732374477825091,-1.681841941413668,0.43421925995395566,0.2896921170705255
w2mgtp,-2.428821698044511,0.022065448639805512,0.8765027570776917,-0.7119318308190049
w2bgp,1.438912847675463,-0.6493928638326217,-0.7620105274828839,1.341683731409165
w2lawp,-0.3692779964538026,0.7084873981190125,-0.17349515881414432,0.28138732662745325
hh21op,11.518428866528605,13.819181700881687,0.43360574340034835,-0.37107697546235785
drive_ratio,5.6018210533274715,0.8690266234094278,-2.769874748695689,3.4380147881359266
w2conp,4.465401526062678,0.5359654983980401,-0.3717140382427044,0.20170559348716394
